GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US370810101001,370810101001,"Block Group 1, Census Tract 101, Guilford County, North Carolina",24.2,18.1,30.2,52.9,17.9,13.5
1500000US370810102001,370810102001,"Block Group 1, Census Tract 102, Guilford County, North Carolina",23.2,11.0,23.5,0.2,16.5,0.2
1500000US370810102002,370810102002,"Block Group 2, Census Tract 102, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810102003,370810102003,"Block Group 3, Census Tract 102, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810103001,370810103001,"Block Group 1, Census Tract 103, Guilford County, North Carolina",11.2,3.8,-,**,4.8,0.2
1500000US370810103002,370810103002,"Block Group 2, Census Tract 103, Guilford County, North Carolina",32.1,1.9,34.3,8.9,31.4,8.1
1500000US370810104011,370810104011,"Block Group 1, Census Tract 104.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810104012,370810104012,"Block Group 2, Census Tract 104.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810104031,370810104031,"Block Group 1, Census Tract 104.03, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810104032,370810104032,"Block Group 2, Census Tract 104.03, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810104041,370810104041,"Block Group 1, Census Tract 104.04, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810104042,370810104042,"Block Group 2, Census Tract 104.04, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810104043,370810104043,"Block Group 3, Census Tract 104.04, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810105001,370810105001,"Block Group 1, Census Tract 105, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810105002,370810105002,"Block Group 2, Census Tract 105, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810105003,370810105003,"Block Group 3, Census Tract 105, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810106011,370810106011,"Block Group 1, Census Tract 106.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810106012,370810106012,"Block Group 2, Census Tract 106.01, Guilford County, North Carolina",6.3,0.2,-,**,-,**
1500000US370810106021,370810106021,"Block Group 1, Census Tract 106.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810106022,370810106022,"Block Group 2, Census Tract 106.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810106023,370810106023,"Block Group 3, Census Tract 106.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810106024,370810106024,"Block Group 4, Census Tract 106.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810107011,370810107011,"Block Group 1, Census Tract 107.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810107012,370810107012,"Block Group 2, Census Tract 107.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810107021,370810107021,"Block Group 1, Census Tract 107.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810107022,370810107022,"Block Group 2, Census Tract 107.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810107023,370810107023,"Block Group 3, Census Tract 107.02, Guilford County, North Carolina",19.3,0.5,19.0,0.8,-,**
1500000US370810108001,370810108001,"Block Group 1, Census Tract 108, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810108002,370810108002,"Block Group 2, Census Tract 108, Guilford County, North Carolina",27.7,15.4,27.7,15.4,-,**
1500000US370810109001,370810109001,"Block Group 1, Census Tract 109, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810109002,370810109002,"Block Group 2, Census Tract 109, Guilford County, North Carolina",36.4,15.2,-,**,43.4,20.1
1500000US370810110001,370810110001,"Block Group 1, Census Tract 110, Guilford County, North Carolina",25.8,1.7,-,**,26.1,4.1
1500000US370810110002,370810110002,"Block Group 2, Census Tract 110, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810110003,370810110003,"Block Group 3, Census Tract 110, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810111011,370810111011,"Block Group 1, Census Tract 111.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810111012,370810111012,"Block Group 2, Census Tract 111.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810111021,370810111021,"Block Group 1, Census Tract 111.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810111022,370810111022,"Block Group 2, Census Tract 111.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810112001,370810112001,"Block Group 1, Census Tract 112, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810112002,370810112002,"Block Group 2, Census Tract 112, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810112003,370810112003,"Block Group 3, Census Tract 112, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810112004,370810112004,"Block Group 4, Census Tract 112, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810113001,370810113001,"Block Group 1, Census Tract 113, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810113002,370810113002,"Block Group 2, Census Tract 113, Guilford County, North Carolina",6.7,0.1,6.3,0.2,-,**
1500000US370810113003,370810113003,"Block Group 3, Census Tract 113, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810113004,370810113004,"Block Group 4, Census Tract 113, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114001,370810114001,"Block Group 1, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114002,370810114002,"Block Group 2, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114003,370810114003,"Block Group 3, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114004,370810114004,"Block Group 4, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114005,370810114005,"Block Group 5, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114006,370810114006,"Block Group 6, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810115001,370810115001,"Block Group 1, Census Tract 115, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810115002,370810115002,"Block Group 2, Census Tract 115, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810115003,370810115003,"Block Group 3, Census Tract 115, Guilford County, North Carolina",12.2,1.7,-,**,6.3,0.2
1500000US370810116011,370810116011,"Block Group 1, Census Tract 116.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810116012,370810116012,"Block Group 2, Census Tract 116.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810116013,370810116013,"Block Group 3, Census Tract 116.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810116021,370810116021,"Block Group 1, Census Tract 116.02, Guilford County, North Carolina",41.5,0.4,40.8,1.1,-,**
1500000US370810116022,370810116022,"Block Group 2, Census Tract 116.02, Guilford County, North Carolina",26.2,39.0,-,**,26.2,39.0
1500000US370810116023,370810116023,"Block Group 3, Census Tract 116.02, Guilford County, North Carolina",14.3,0.1,-,**,12.9,0.1
1500000US370810119041,370810119041,"Block Group 1, Census Tract 119.04, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810119042,370810119042,"Block Group 2, Census Tract 119.04, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810119051,370810119051,"Block Group 1, Census Tract 119.05, Guilford County, North Carolina",28.6,5.7,22.0,9.6,-,**
1500000US370810119052,370810119052,"Block Group 2, Census Tract 119.05, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810119053,370810119053,"Block Group 3, Census Tract 119.05, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810125031,370810125031,"Block Group 1, Census Tract 125.03, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810125032,370810125032,"Block Group 2, Census Tract 125.03, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810125041,370810125041,"Block Group 1, Census Tract 125.04, Guilford County, North Carolina",17.7,11.6,-,**,17.8,14.3
1500000US370810125042,370810125042,"Block Group 2, Census Tract 125.04, Guilford County, North Carolina",21.8,29.4,4.0,63.3,21.9,19.1
1500000US370810125051,370810125051,"Block Group 1, Census Tract 125.05, Guilford County, North Carolina",20.4,0.3,18.6,0.2,-,**
1500000US370810125052,370810125052,"Block Group 2, Census Tract 125.05, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810125053,370810125053,"Block Group 3, Census Tract 125.05, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810125081,370810125081,"Block Group 1, Census Tract 125.08, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810125082,370810125082,"Block Group 2, Census Tract 125.08, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810125083,370810125083,"Block Group 3, Census Tract 125.08, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810125084,370810125084,"Block Group 4, Census Tract 125.08, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810125091,370810125091,"Block Group 1, Census Tract 125.09, Guilford County, North Carolina",-,**,-,**,-,**
