GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US370810101001,370810101001,"Block Group 1, Census Tract 101, Guilford County, North Carolina",52.8,7.8,51.3,12.3,58.1,10.6
1500000US370810102001,370810102001,"Block Group 1, Census Tract 102, Guilford County, North Carolina",24.1,9.3,14.4,29.3,24.6,3.4
1500000US370810102002,370810102002,"Block Group 2, Census Tract 102, Guilford County, North Carolina",70.0,7.7,68.8,9.9,74.6,8.5
1500000US370810102003,370810102003,"Block Group 3, Census Tract 102, Guilford County, North Carolina",49.8,25.9,34.2,16.9,57.8,16.0
1500000US370810103001,370810103001,"Block Group 1, Census Tract 103, Guilford County, North Carolina",50.3,2.1,50.4,4.6,50.2,5.3
1500000US370810103002,370810103002,"Block Group 2, Census Tract 103, Guilford County, North Carolina",66.3,8.3,66.5,3.6,61.9,10.5
1500000US370810104011,370810104011,"Block Group 1, Census Tract 104.01, Guilford County, North Carolina",41.7,9.4,45.7,8.4,38.4,9.8
1500000US370810104012,370810104012,"Block Group 2, Census Tract 104.01, Guilford County, North Carolina",45.3,5.0,43.8,4.5,46.6,14.2
1500000US370810104031,370810104031,"Block Group 1, Census Tract 104.03, Guilford County, North Carolina",44.4,8.2,46.8,4.1,41.8,8.8
1500000US370810104032,370810104032,"Block Group 2, Census Tract 104.03, Guilford County, North Carolina",31.4,3.2,27.8,6.1,33.3,6.4
1500000US370810104041,370810104041,"Block Group 1, Census Tract 104.04, Guilford County, North Carolina",51.6,6.6,51.3,7.5,51.8,10.4
1500000US370810104042,370810104042,"Block Group 2, Census Tract 104.04, Guilford County, North Carolina",54.5,7.7,51.3,13.7,58.1,6.2
1500000US370810104043,370810104043,"Block Group 3, Census Tract 104.04, Guilford County, North Carolina",46.9,9.1,47.5,13.2,46.4,12.5
1500000US370810105001,370810105001,"Block Group 1, Census Tract 105, Guilford County, North Carolina",44.9,7.3,45.9,17.1,41.4,12.3
1500000US370810105002,370810105002,"Block Group 2, Census Tract 105, Guilford County, North Carolina",52.3,7.7,52.3,6.3,52.3,13.4
1500000US370810105003,370810105003,"Block Group 3, Census Tract 105, Guilford County, North Carolina",42.5,12.3,29.6,17.4,50.6,16.2
1500000US370810106011,370810106011,"Block Group 1, Census Tract 106.01, Guilford County, North Carolina",31.6,7.4,29.7,5.5,34.7,19.5
1500000US370810106012,370810106012,"Block Group 2, Census Tract 106.01, Guilford County, North Carolina",38.0,5.5,34.1,7.5,39.5,7.2
1500000US370810106021,370810106021,"Block Group 1, Census Tract 106.02, Guilford County, North Carolina",49.6,5.8,50.2,5.2,45.4,14.5
1500000US370810106022,370810106022,"Block Group 2, Census Tract 106.02, Guilford County, North Carolina",24.4,3.1,23.2,2.8,25.7,3.8
1500000US370810106023,370810106023,"Block Group 3, Census Tract 106.02, Guilford County, North Carolina",24.1,2.4,25.2,5.3,23.7,1.9
1500000US370810106024,370810106024,"Block Group 4, Census Tract 106.02, Guilford County, North Carolina",23.3,2.2,23.5,3.6,23.1,2.4
1500000US370810107011,370810107011,"Block Group 1, Census Tract 107.01, Guilford County, North Carolina",41.2,4.4,40.8,5.9,42.6,9.6
1500000US370810107012,370810107012,"Block Group 2, Census Tract 107.01, Guilford County, North Carolina",29.3,3.6,31.6,7.4,28.4,4.2
1500000US370810107021,370810107021,"Block Group 1, Census Tract 107.02, Guilford County, North Carolina",21.8,2.4,21.9,6.7,21.5,3.5
1500000US370810107022,370810107022,"Block Group 2, Census Tract 107.02, Guilford County, North Carolina",23.6,1.7,25.3,5.1,21.7,0.7
1500000US370810107023,370810107023,"Block Group 3, Census Tract 107.02, Guilford County, North Carolina",19.6,0.2,19.6,0.3,19.5,0.3
1500000US370810108001,370810108001,"Block Group 1, Census Tract 108, Guilford County, North Carolina",51.0,5.0,50.8,10.4,51.0,7.9
1500000US370810108002,370810108002,"Block Group 2, Census Tract 108, Guilford County, North Carolina",29.5,1.5,30.3,10.3,27.6,4.3
1500000US370810109001,370810109001,"Block Group 1, Census Tract 109, Guilford County, North Carolina",31.8,21.9,38.0,29.7,30.7,15.5
1500000US370810109002,370810109002,"Block Group 2, Census Tract 109, Guilford County, North Carolina",43.9,8.8,47.6,11.0,39.0,8.8
1500000US370810110001,370810110001,"Block Group 1, Census Tract 110, Guilford County, North Carolina",22.5,5.8,22.5,5.8,-,**
1500000US370810110002,370810110002,"Block Group 2, Census Tract 110, Guilford County, North Carolina",20.7,35.9,-,**,20.7,47.2
1500000US370810110003,370810110003,"Block Group 3, Census Tract 110, Guilford County, North Carolina",19.8,0.5,20.5,1.6,19.5,0.6
1500000US370810111011,370810111011,"Block Group 1, Census Tract 111.01, Guilford County, North Carolina",15.5,20.5,46.7,1.7,3.5,0.3
1500000US370810111012,370810111012,"Block Group 2, Census Tract 111.01, Guilford County, North Carolina",53.9,20.9,-,**,-,**
1500000US370810111021,370810111021,"Block Group 1, Census Tract 111.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810111022,370810111022,"Block Group 2, Census Tract 111.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810112001,370810112001,"Block Group 1, Census Tract 112, Guilford County, North Carolina",32.1,24.5,42.4,33.7,24.8,23.5
1500000US370810112002,370810112002,"Block Group 2, Census Tract 112, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810112003,370810112003,"Block Group 3, Census Tract 112, Guilford County, North Carolina",30.5,33.7,8.5,0.2,31.3,0.3
1500000US370810112004,370810112004,"Block Group 4, Census Tract 112, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810113001,370810113001,"Block Group 1, Census Tract 113, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810113002,370810113002,"Block Group 2, Census Tract 113, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810113003,370810113003,"Block Group 3, Census Tract 113, Guilford County, North Carolina",48.5,24.4,48.5,24.4,-,**
1500000US370810113004,370810113004,"Block Group 4, Census Tract 113, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114001,370810114001,"Block Group 1, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114002,370810114002,"Block Group 2, Census Tract 114, Guilford County, North Carolina",52.8,0.6,-,**,52.4,0.3
