GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
1500000US370810101001,370810101001,"Block Group 1, Census Tract 101, Guilford County, North Carolina",30.1,15.2,30.4,35.3,27.6,15.1
1500000US370810102001,370810102001,"Block Group 1, Census Tract 102, Guilford County, North Carolina",23.3,9.8,5.6,35.0,37.5,24.1
1500000US370810102002,370810102002,"Block Group 2, Census Tract 102, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810102003,370810102003,"Block Group 3, Census Tract 102, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810103001,370810103001,"Block Group 1, Census Tract 103, Guilford County, North Carolina",12.5,19.8,13.1,5.4,11.5,41.9
1500000US370810103002,370810103002,"Block Group 2, Census Tract 103, Guilford County, North Carolina",32.1,11.5,34.9,9.3,20.0,13.3
1500000US370810104011,370810104011,"Block Group 1, Census Tract 104.01, Guilford County, North Carolina",41.1,2.6,41.2,5.3,38.9,7.0
1500000US370810104012,370810104012,"Block Group 2, Census Tract 104.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810104031,370810104031,"Block Group 1, Census Tract 104.03, Guilford County, North Carolina",31.0,19.2,24.5,14.6,56.4,59.5
1500000US370810104032,370810104032,"Block Group 2, Census Tract 104.03, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810104041,370810104041,"Block Group 1, Census Tract 104.04, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810104042,370810104042,"Block Group 2, Census Tract 104.04, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810104043,370810104043,"Block Group 3, Census Tract 104.04, Guilford County, North Carolina",6.3,0.2,4.7,0.1,-,**
1500000US370810105001,370810105001,"Block Group 1, Census Tract 105, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810105002,370810105002,"Block Group 2, Census Tract 105, Guilford County, North Carolina",18.4,8.4,18.2,8.8,-,**
1500000US370810105003,370810105003,"Block Group 3, Census Tract 105, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810106011,370810106011,"Block Group 1, Census Tract 106.01, Guilford County, North Carolina",11.2,28.4,11.0,8.1,-,**
1500000US370810106012,370810106012,"Block Group 2, Census Tract 106.01, Guilford County, North Carolina",7.0,27.1,-,**,19.6,6.7
1500000US370810106021,370810106021,"Block Group 1, Census Tract 106.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810106022,370810106022,"Block Group 2, Census Tract 106.02, Guilford County, North Carolina",22.4,2.2,-,**,22.4,3.6
1500000US370810106023,370810106023,"Block Group 3, Census Tract 106.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810106024,370810106024,"Block Group 4, Census Tract 106.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810107011,370810107011,"Block Group 1, Census Tract 107.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810107012,370810107012,"Block Group 2, Census Tract 107.01, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810107021,370810107021,"Block Group 1, Census Tract 107.02, Guilford County, North Carolina",23.6,3.2,-,**,23.1,4.9
1500000US370810107022,370810107022,"Block Group 2, Census Tract 107.02, Guilford County, North Carolina",22.6,0.5,24.0,7.0,22.3,2.0
1500000US370810107023,370810107023,"Block Group 3, Census Tract 107.02, Guilford County, North Carolina",19.5,0.6,19.0,1.2,19.7,0.6
1500000US370810108001,370810108001,"Block Group 1, Census Tract 108, Guilford County, North Carolina",41.2,31.7,-,**,27.7,75.6
1500000US370810108002,370810108002,"Block Group 2, Census Tract 108, Guilford County, North Carolina",27.9,19.8,27.9,19.8,-,**
1500000US370810109001,370810109001,"Block Group 1, Census Tract 109, Guilford County, North Carolina",19.1,7.4,30.1,34.5,-,**
1500000US370810109002,370810109002,"Block Group 2, Census Tract 109, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810110001,370810110001,"Block Group 1, Census Tract 110, Guilford County, North Carolina",23.9,6.2,28.2,9.6,23.6,7.3
1500000US370810110002,370810110002,"Block Group 2, Census Tract 110, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810110003,370810110003,"Block Group 3, Census Tract 110, Guilford County, North Carolina",19.4,1.5,19.5,8.0,19.3,1.9
1500000US370810111011,370810111011,"Block Group 1, Census Tract 111.01, Guilford County, North Carolina",50.4,1.2,50.2,4.5,55.4,0.3
1500000US370810111012,370810111012,"Block Group 2, Census Tract 111.01, Guilford County, North Carolina",14.7,0.3,16.4,0.2,14.4,0.1
1500000US370810111021,370810111021,"Block Group 1, Census Tract 111.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810111022,370810111022,"Block Group 2, Census Tract 111.02, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810112001,370810112001,"Block Group 1, Census Tract 112, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810112002,370810112002,"Block Group 2, Census Tract 112, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810112003,370810112003,"Block Group 3, Census Tract 112, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810112004,370810112004,"Block Group 4, Census Tract 112, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810113001,370810113001,"Block Group 1, Census Tract 113, Guilford County, North Carolina",36.1,15.3,-,**,-,**
1500000US370810113002,370810113002,"Block Group 2, Census Tract 113, Guilford County, North Carolina",9.7,7.2,9.7,7.5,31.1,48.2
1500000US370810113003,370810113003,"Block Group 3, Census Tract 113, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810113004,370810113004,"Block Group 4, Census Tract 113, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114001,370810114001,"Block Group 1, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114002,370810114002,"Block Group 2, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114003,370810114003,"Block Group 3, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114004,370810114004,"Block Group 4, Census Tract 114, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810114005,370810114005,"Block Group 5, Census Tract 114, Guilford County, North Carolina",30.8,0.8,30.4,12.0,-,**
1500000US370810114006,370810114006,"Block Group 6, Census Tract 114, Guilford County, North Carolina",10.8,13.4,10.3,9.6,-,**
1500000US370810115001,370810115001,"Block Group 1, Census Tract 115, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810115002,370810115002,"Block Group 2, Census Tract 115, Guilford County, North Carolina",-,**,-,**,-,**
1500000US370810115003,370810115003,"Block Group 3, Census Tract 115, Guilford County, North Carolina",23.2,32.2,23.9,24.1,6.7,54.0
1500000US370810116011,370810116011,"Block Group 1, Census Tract 116.01, Guilford County, North Carolina",32.1,17.5,26.6,30.2,-,**
1500000US370810116012,370810116012,"Block Group 2, Census Tract 116.01, Guilford County, North Carolina",27.8,24.5,34.3,32.8,27.5,21.4
1500000US370810116013,370810116013,"Block Group 3, Census Tract 116.01, Guilford County, North Carolina",39.7,13.0,44.0,8.2,-,**
1500000US370810116021,370810116021,"Block Group 1, Census Tract 116.02, Guilford County, North Carolina",33.6,30.2,20.7,27.4,45.3,12.5
1500000US370810116022,370810116022,"Block Group 2, Census Tract 116.02, Guilford County, North Carolina",15.0,15.8,19.5,24.6,8.4,5.1
1500000US370810116023,370810116023,"Block Group 3, Census Tract 116.02, Guilford County, North Carolina",14.3,0.1,-,**,12.9,0.1
1500000US370810119041,370810119041,"Block Group 1, Census Tract 119.04, Guilford County, North Carolina",54.0,32.3,-,**,60.5,2.4
1500000US370810119042,370810119042,"Block Group 2, Census Tract 119.04, Guilford County, North Carolina",33.3,3.5,-,**,29.6,19.1
1500000US370810119051,370810119051,"Block Group 1, Census Tract 119.05, Guilford County, North Carolina",28.3,13.2,21.7,10.0,-,**
