GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US370810101001,370810101001,"Block Group 1, Census Tract 101, Guilford County, North Carolina",1737,198,234,117,1378,222,0,12,0,12,0,12,93,107,32,27,0,12,32,27
1500000US370810102001,370810102001,"Block Group 1, Census Tract 102, Guilford County, North Carolina",2185,563,974,525,930,446,0,12,137,193,0,12,144,185,0,12,0,12,0,12
1500000US370810102002,370810102002,"Block Group 2, Census Tract 102, Guilford County, North Carolina",1444,378,473,140,839,351,0,12,13,20,0,12,106,169,13,20,0,12,13,20
1500000US370810102003,370810102003,"Block Group 3, Census Tract 102, Guilford County, North Carolina",1110,310,591,224,412,316,0,12,38,49,0,12,0,12,69,108,0,12,69,108
1500000US370810103001,370810103001,"Block Group 1, Census Tract 103, Guilford County, North Carolina",1407,395,406,141,529,150,0,12,385,286,0,12,79,137,8,15,0,12,8,15
1500000US370810103002,370810103002,"Block Group 2, Census Tract 103, Guilford County, North Carolina",1412,300,320,124,418,200,0,12,441,171,0,12,152,102,81,61,0,12,81,61
1500000US370810104011,370810104011,"Block Group 1, Census Tract 104.01, Guilford County, North Carolina",882,114,773,90,7,11,0,12,69,84,0,12,12,13,21,19,0,12,21,19
1500000US370810104012,370810104012,"Block Group 2, Census Tract 104.01, Guilford County, North Carolina",675,114,652,106,8,11,0,12,0,12,0,12,0,12,15,22,0,12,15,22
1500000US370810104031,370810104031,"Block Group 1, Census Tract 104.03, Guilford County, North Carolina",1016,160,692,112,281,187,0,12,39,39,0,12,0,12,4,6,0,12,4,6
1500000US370810104032,370810104032,"Block Group 2, Census Tract 104.03, Guilford County, North Carolina",684,118,659,116,5,9,0,12,0,12,0,12,0,12,20,23,0,12,20,23
1500000US370810104041,370810104041,"Block Group 1, Census Tract 104.04, Guilford County, North Carolina",845,154,805,156,22,33,0,12,0,12,0,12,0,12,18,29,0,12,18,29
1500000US370810104042,370810104042,"Block Group 2, Census Tract 104.04, Guilford County, North Carolina",590,132,578,133,0,12,0,12,0,12,0,12,0,12,12,19,0,12,12,19
1500000US370810104043,370810104043,"Block Group 3, Census Tract 104.04, Guilford County, North Carolina",1079,168,1049,169,0,12,0,12,30,46,0,12,0,12,0,12,0,12,0,12
1500000US370810105001,370810105001,"Block Group 1, Census Tract 105, Guilford County, North Carolina",672,118,600,115,51,54,0,12,0,12,0,12,0,12,21,33,0,12,21,33
1500000US370810105002,370810105002,"Block Group 2, Census Tract 105, Guilford County, North Carolina",961,188,916,193,10,19,27,44,0,12,0,12,8,11,0,12,0,12,0,12
1500000US370810105003,370810105003,"Block Group 3, Census Tract 105, Guilford County, North Carolina",656,143,543,133,101,81,0,12,0,12,0,12,0,12,12,18,0,12,12,18
1500000US370810106011,370810106011,"Block Group 1, Census Tract 106.01, Guilford County, North Carolina",1234,216,1024,228,173,157,0,12,0,12,0,12,37,53,0,12,0,12,0,12
1500000US370810106012,370810106012,"Block Group 2, Census Tract 106.01, Guilford County, North Carolina",1403,262,1161,180,190,202,0,12,0,12,0,12,32,53,20,22,0,12,20,22
1500000US370810106021,370810106021,"Block Group 1, Census Tract 106.02, Guilford County, North Carolina",1028,185,984,177,0,12,0,12,44,62,0,12,0,12,0,12,0,12,0,12
1500000US370810106022,370810106022,"Block Group 2, Census Tract 106.02, Guilford County, North Carolina",1617,501,952,441,584,303,16,26,65,93,0,12,0,12,0,12,0,12,0,12
1500000US370810106023,370810106023,"Block Group 3, Census Tract 106.02, Guilford County, North Carolina",704,300,398,218,229,198,0,12,41,52,0,12,0,12,36,49,34,49,2,4
1500000US370810106024,370810106024,"Block Group 4, Census Tract 106.02, Guilford County, North Carolina",963,348,504,172,291,234,39,48,71,98,0,12,0,12,58,53,33,48,25,23
1500000US370810107011,370810107011,"Block Group 1, Census Tract 107.01, Guilford County, North Carolina",951,144,809,140,115,102,0,12,27,44,0,12,0,12,0,12,0,12,0,12
