GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:
1500000US370810101001,370810101001,"Block Group 1, Census Tract 101, Guilford County, North Carolina",261,124
1500000US370810102001,370810102001,"Block Group 1, Census Tract 102, Guilford County, North Carolina",974,525
1500000US370810102002,370810102002,"Block Group 2, Census Tract 102, Guilford County, North Carolina",473,140
1500000US370810102003,370810102003,"Block Group 3, Census Tract 102, Guilford County, North Carolina",660,237
1500000US370810103001,370810103001,"Block Group 1, Census Tract 103, Guilford County, North Carolina",406,141
1500000US370810103002,370810103002,"Block Group 2, Census Tract 103, Guilford County, North Carolina",382,133
1500000US370810104011,370810104011,"Block Group 1, Census Tract 104.01, Guilford County, North Carolina",794,89
1500000US370810104012,370810104012,"Block Group 2, Census Tract 104.01, Guilford County, North Carolina",667,111
1500000US370810104031,370810104031,"Block Group 1, Census Tract 104.03, Guilford County, North Carolina",696,111
1500000US370810104032,370810104032,"Block Group 2, Census Tract 104.03, Guilford County, North Carolina",679,117
1500000US370810104041,370810104041,"Block Group 1, Census Tract 104.04, Guilford County, North Carolina",823,152
1500000US370810104042,370810104042,"Block Group 2, Census Tract 104.04, Guilford County, North Carolina",590,132
1500000US370810104043,370810104043,"Block Group 3, Census Tract 104.04, Guilford County, North Carolina",1049,169
1500000US370810105001,370810105001,"Block Group 1, Census Tract 105, Guilford County, North Carolina",621,117
1500000US370810105002,370810105002,"Block Group 2, Census Tract 105, Guilford County, North Carolina",916,193
1500000US370810105003,370810105003,"Block Group 3, Census Tract 105, Guilford County, North Carolina",555,133
1500000US370810106011,370810106011,"Block Group 1, Census Tract 106.01, Guilford County, North Carolina",1024,228
1500000US370810106012,370810106012,"Block Group 2, Census Tract 106.01, Guilford County, North Carolina",1181,183
1500000US370810106021,370810106021,"Block Group 1, Census Tract 106.02, Guilford County, North Carolina",984,177
1500000US370810106022,370810106022,"Block Group 2, Census Tract 106.02, Guilford County, North Carolina",952,441
1500000US370810106023,370810106023,"Block Group 3, Census Tract 106.02, Guilford County, North Carolina",400,218
1500000US370810106024,370810106024,"Block Group 4, Census Tract 106.02, Guilford County, North Carolina",529,173
1500000US370810107011,370810107011,"Block Group 1, Census Tract 107.01, Guilford County, North Carolina",809,140
1500000US370810107012,370810107012,"Block Group 2, Census Tract 107.01, Guilford County, North Carolina",890,139
1500000US370810107021,370810107021,"Block Group 1, Census Tract 107.02, Guilford County, North Carolina",473,167
1500000US370810107022,370810107022,"Block Group 2, Census Tract 107.02, Guilford County, North Carolina",1273,281
1500000US370810107023,370810107023,"Block Group 3, Census Tract 107.02, Guilford County, North Carolina",1564,233
1500000US370810108001,370810108001,"Block Group 1, Census Tract 108, Guilford County, North Carolina",978,167
1500000US370810108002,370810108002,"Block Group 2, Census Tract 108, Guilford County, North Carolina",1064,196
1500000US370810109001,370810109001,"Block Group 1, Census Tract 109, Guilford County, North Carolina",233,95
1500000US370810109002,370810109002,"Block Group 2, Census Tract 109, Guilford County, North Carolina",623,134
1500000US370810110001,370810110001,"Block Group 1, Census Tract 110, Guilford County, North Carolina",88,98
1500000US370810110002,370810110002,"Block Group 2, Census Tract 110, Guilford County, North Carolina",29,36
1500000US370810110003,370810110003,"Block Group 3, Census Tract 110, Guilford County, North Carolina",580,166
1500000US370810111011,370810111011,"Block Group 1, Census Tract 111.01, Guilford County, North Carolina",380,273
1500000US370810111012,370810111012,"Block Group 2, Census Tract 111.01, Guilford County, North Carolina",81,73
1500000US370810111021,370810111021,"Block Group 1, Census Tract 111.02, Guilford County, North Carolina",38,55
1500000US370810111022,370810111022,"Block Group 2, Census Tract 111.02, Guilford County, North Carolina",12,20
1500000US370810112001,370810112001,"Block Group 1, Census Tract 112, Guilford County, North Carolina",611,189
